State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
21,185,KY,Oldham County,"3,524","2,782","4,266",6.1,4.8,7.4,"1,151",893,"1,409",7.1,5.5,8.7,756,561,951,5.6,4.1,7.1,"86,580","81,142","92,018"
34,037,NJ,Sussex County,"8,779","7,253","10,305",6.1,5.0,7.2,"2,295","1,837","2,753",7.2,5.8,8.6,"1,586","1,229","1,943",6.4,5.0,7.8,"85,747","81,183","90,311"
34,005,NJ,Burlington County,"27,192","22,923","31,461",6.2,5.2,7.2,"8,843","7,350","10,336",9.0,7.5,10.5,"6,055","4,848","7,262",8.2,6.6,9.8,"76,868","74,640","79,096"
31,153,NE,Sarpy County,"10,560","8,691","12,429",6.3,5.2,7.4,"4,027","3,167","4,887",8.5,6.7,10.3,"2,620","1,952","3,288",7.7,5.7,9.7,"67,740","63,847","71,633"
46,119,SD,Sully County,90,69,111,6.3,4.8,7.8,23,17,29,7.2,5.3,9.1,16,11,21,6.5,4.5,8.5,"57,620","52,050","63,190"
55,109,WI,St. Croix County,"5,370","4,420","6,320",6.3,5.2,7.4,"1,609","1,277","1,941",7.2,5.7,8.7,"1,070",818,"1,322",6.4,4.9,7.9,"69,641","65,299","73,983"
56,035,WY,Sublette County,626,477,775,6.3,4.8,7.8,176,128,224,7.5,5.4,9.6,117,80,154,6.8,4.7,8.9,"74,951","67,603","82,299"
08,014,CO,Broomfield County,"3,754","3,159","4,349",6.4,5.4,7.4,"1,032",815,"1,249",7.0,5.5,8.5,745,579,911,6.8,5.3,8.3,"79,117","74,311","83,923"
09,013,CT,Tolland County,"8,744","6,940","10,548",6.4,5.1,7.7,"1,995","1,547","2,443",7.0,5.4,8.6,"1,370","1,025","1,715",6.2,4.6,7.8,"73,660","70,145","77,175"
18,063,IN,Hendricks County,"9,494","7,811","11,177",6.4,5.3,7.5,"3,058","2,438","3,678",7.7,6.1,9.3,"2,057","1,582","2,532",6.8,5.2,8.4,"68,575","65,075","72,075"
26,093,MI,Livingston County,"11,668","9,813","13,523",6.4,5.4,7.4,"3,428","2,749","4,107",8.0,6.4,9.6,"2,315","1,761","2,869",6.9,5.3,8.5,"71,075","69,168","72,982"
29,183,MO,St. Charles County,"23,343","19,941","26,745",6.4,5.5,7.3,"7,520","6,182","8,858",8.3,6.8,9.8,"5,343","4,346","6,340",7.9,6.4,9.4,"70,468","68,229","72,707"
42,017,PA,Bucks County,"39,831","34,120","45,542",6.4,5.5,7.3,"11,241","9,374","13,108",8.4,7.0,9.8,"7,595","6,132","9,058",7.4,6.0,8.8,"73,662","71,337","75,987"
51,179,VA,Stafford County,"8,436","6,683","10,189",6.4,5.1,7.7,"2,952","2,316","3,588",8.1,6.4,9.8,"1,983","1,506","2,460",7.1,5.4,8.8,"93,014","88,655","97,373"
55,015,WI,Calumet County,"3,160","2,552","3,768",6.4,5.2,7.6,"1,045",829,"1,261",8.3,6.6,10.0,726,560,892,7.7,5.9,9.5,"66,657","62,816","70,498"
18,059,IN,Hancock County,"4,617","3,633","5,601",6.5,5.1,7.9,"1,591","1,238","1,944",9.1,7.1,11.1,"1,059",792,"1,326",7.9,5.9,9.9,"67,738","62,158","73,318"
19,017,IA,Bremer County,"1,482","1,144","1,820",6.5,5.0,8.0,329,252,406,6.2,4.7,7.7,231,170,292,5.8,4.3,7.3,"61,665","57,035","66,295"
27,141,MN,Sherburne County,"5,722","4,597","6,847",6.5,5.2,7.8,"1,882","1,470","2,294",7.7,6.0,9.4,"1,282",966,"1,598",7.0,5.3,8.7,"74,915","69,867","79,963"
36,059,NY,Nassau County,"86,249","75,174","97,324",6.5,5.7,7.3,"27,137","23,271","31,003",9.1,7.8,10.4,"19,241","16,130","22,352",8.5,7.1,9.9,"95,395","93,361","97,429"
38,081,ND,Sargent County,250,192,308,6.5,5.0,8.0,59,43,75,7.4,5.4,9.4,41,28,54,6.9,4.7,9.1,"58,672","53,545","63,799"
