DATE,ARPOP
2009-01-01,2896.843
2010-01-01,2921.998
2011-01-01,2941.038
2012-01-01,2952.876
2013-01-01,2960.459
2014-01-01,2968.759
2015-01-01,2979.732
2016-01-01,2991.815
2017-01-01,3003.855
2018-01-01,3012.161
2019-01-01,3020.985
