DATE,MSPOP
2009-01-01,2958.774
2010-01-01,2970.615
2011-01-01,2979.147
2012-01-01,2984.599
2013-01-01,2989.839
2014-01-01,2991.892
2015-01-01,2990.231
2016-01-01,2990.595
2017-01-01,2990.674
2018-01-01,2982.879
2019-01-01,2978.227
